Pokedex_ID,Name,HP,Attack,Defense,SpAtk,SpDef,Speed,Total_Stats,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
1,Bulbasaur,45,49,49,65,65,45,318,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,Ivysaur,60,62,63,80,80,60,405,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,Venusaur,80,82,83,100,100,80,525,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,Venusaur-Mega,80,100,123,122,120,80,625,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,Venusaur-Gmax,80,82,83,100,100,80,525,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,Charmander,39,52,43,60,50,65,309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,58,64,58,80,65,80,405,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Charizard,78,84,78,109,85,100,534,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,Charizard-Mega-X,78,130,111,130,85,100,634,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Charizard-Mega-Y,78,104,78,159,115,100,634,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,Charizard-Gmax,78,84,78,109,85,100,534,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,Squirtle,44,48,65,50,64,43,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Wartortle,59,63,80,65,80,58,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blastoise,79,83,100,85,105,78,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blastoise-Mega,79,103,120,135,115,78,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blastoise-Gmax,79,83,100,85,105,78,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Caterpie,45,30,35,20,20,45,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Metapod,50,20,55,25,25,30,205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Butterfree,60,45,50,90,80,70,395,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Butterfree-Gmax,60,45,50,90,80,70,395,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Weedle,40,35,30,20,20,50,195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Kakuna,45,25,50,25,25,35,205,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Beedrill,65,90,40,45,80,75,395,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Beedrill-Mega,65,150,40,15,80,145,495,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Pidgey,40,45,40,35,35,56,251,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17,Pidgeotto,63,60,55,50,50,71,349,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,Pidgeot,83,80,75,70,70,101,479,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,Pidgeot-Mega,83,80,80,135,80,121,579,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,Rattata,30,56,35,25,35,72,253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Rattata-Alola,30,56,35,25,35,72,253,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Raticate,55,81,60,50,70,97,413,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Raticate-Alola,75,71,70,40,80,77,413,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Raticate-Alola-Totem,75,71,70,40,80,77,413,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Spearow,40,60,30,31,31,70,262,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22,Fearow,65,90,65,61,61,100,442,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,Ekans,35,60,44,40,54,55,288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Arbok,60,95,69,65,79,80,448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Pikachu,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Cosplay,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Rock-Star,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Belle,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Pop-Star,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-PhD,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Libre,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Original,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Hoenn,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Sinnoh,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Unova,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Kalos,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Alola,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Partner,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Starter,45,80,50,75,60,120,430,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pikachu-Gmax,35,55,40,50,50,90,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
